"league_id","year","team_name","team_id","ra","rs","diff","wins","losses"
104,2016,"Atlanta Braves",144,779,649,-130,68,93
104,2016,"Chicago Cubs",112,556,808,252,103,58
104,2016,"St. Louis Cardinals",138,712,779,67,86,76
104,2016,"Pittsburgh Pirates",134,758,729,-29,78,83
104,2016,"Milwaukee Brewers",158,733,671,-62,73,89
104,2016,"Cincinnati Reds",113,854,716,-138,68,94
104,2016,"Los Angeles Dodgers",119,638,725,87,91,71
104,2016,"San Francisco Giants",137,631,715,84,87,75
104,2016,"Colorado Rockies",115,860,845,-15,75,87
104,2016,"Arizona Diamondbacks",109,890,752,-138,69,93
104,2016,"San Diego Padres",135,770,686,-84,68,94
103,2017,"Boston Red Sox",111,668,785,117,93,69
103,2017,"New York Yankees",147,660,858,198,91,71
103,2017,"Tampa Bay Rays",139,704,694,-10,80,82
103,2017,"Toronto Blue Jays",141,784,693,-91,76,86
103,2017,"Baltimore Orioles",110,841,743,-98,75,87
103,2017,"Cleveland Guardians",114,564,818,254,102,60
103,2017,"Minnesota Twins",142,788,815,27,85,77
103,2017,"Kansas City Royals",118,791,702,-89,80,82
103,2017,"Chicago White Sox",145,820,706,-114,67,95
103,2017,"Detroit Tigers",116,894,735,-159,64,98
103,2017,"Houston Astros",117,700,896,196,101,61
103,2017,"Los Angeles Angels",108,709,710,1,80,82
103,2017,"Seattle Mariners",136,772,750,-22,78,84
103,2017,"Texas Rangers",140,816,799,-17,78,84
103,2017,"Oakland Athletics",133,826,739,-87,75,87
104,2017,"Washington Nationals",120,672,819,147,97,65
104,2017,"Miami Marlins",146,822,778,-44,77,85
104,2017,"Atlanta Braves",144,821,732,-89,72,90
104,2017,"New York Mets",121,863,735,-128,70,92
104,2017,"Philadelphia Phillies",143,782,690,-92,66,96
104,2017,"Chicago Cubs",112,695,822,127,92,70
104,2017,"Milwaukee Brewers",158,697,732,35,86,76
104,2017,"St. Louis Cardinals",138,705,761,56,83,79
104,2017,"Pittsburgh Pirates",134,731,668,-63,75,87
104,2017,"Cincinnati Reds",113,869,753,-116,68,94
104,2017,"Los Angeles Dodgers",119,580,770,190,104,58
104,2017,"Arizona Diamondbacks",109,659,812,153,93,69
104,2017,"Colorado Rockies",115,757,824,67,87,75
104,2017,"San Diego Padres",135,816,604,-212,71,91
104,2017,"San Francisco Giants",137,776,639,-137,64,98
103,2018,"Boston Red Sox",111,647,876,229,108,54
103,2018,"New York Yankees",147,669,851,182,100,62
103,2018,"Tampa Bay Rays",139,646,716,70,90,72
103,2018,"Toronto Blue Jays",141,832,709,-123,73,89
103,2018,"Baltimore Orioles",110,892,622,-270,47,115
103,2018,"Cleveland Guardians",114,648,818,170,91,71
103,2018,"Minnesota Twins",142,775,738,-37,78,84
103,2018,"Detroit Tigers",116,796,630,-166,64,98
103,2018,"Chicago White Sox",145,848,656,-192,62,100
103,2018,"Kansas City Royals",118,833,638,-195,58,104
103,2018,"Houston Astros",117,534,797,263,103,59
103,2018,"Oakland Athletics",133,674,813,139,97,65
103,2018,"Seattle Mariners",136,711,677,-34,89,73
103,2018,"Los Angeles Angels",108,722,721,-1,80,82
103,2018,"Texas Rangers",140,848,737,-111,67,95
104,2018,"Atlanta Braves",144,657,759,102,90,72
104,2018,"Washington Nationals",120,682,771,89,82,80
104,2018,"Philadelphia Phillies",143,728,677,-51,80,82
104,2018,"New York Mets",121,707,676,-31,77,85
104,2018,"Miami Marlins",146,809,589,-220,63,98
104,2018,"Milwaukee Brewers",158,659,754,95,96,67
104,2018,"Chicago Cubs",112,645,761,116,95,68
104,2018,"St. Louis Cardinals",138,691,759,68,88,74
104,2018,"Pittsburgh Pirates",134,693,692,-1,82,79
104,2018,"Cincinnati Reds",113,819,696,-123,67,95
104,2018,"Los Angeles Dodgers",119,610,804,194,92,71
104,2018,"Colorado Rockies",115,745,780,35,91,72
104,2018,"Arizona Diamondbacks",109,644,693,49,82,80
104,2018,"San Francisco Giants",137,699,603,-96,73,89
104,2018,"San Diego Padres",135,767,617,-150,66,96
103,2019,"New York Yankees",147,739,943,204,103,59
103,2019,"Tampa Bay Rays",139,656,769,113,96,66
103,2019,"Boston Red Sox",111,828,901,73,84,78
103,2019,"Toronto Blue Jays",141,828,726,-102,67,95
103,2019,"Baltimore Orioles",110,981,729,-252,54,108
103,2019,"Minnesota Twins",142,754,939,185,101,61
103,2019,"Cleveland Guardians",114,657,769,112,93,69
103,2019,"Chicago White Sox",145,832,708,-124,72,89
103,2019,"Kansas City Royals",118,869,691,-178,59,103
103,2019,"Detroit Tigers",116,915,582,-333,47,114
103,2019,"Houston Astros",117,640,920,280,107,55
103,2019,"Oakland Athletics",133,680,845,165,97,65
103,2019,"Texas Rangers",140,878,810,-68,78,84
103,2019,"Los Angeles Angels",108,868,769,-99,72,90
103,2019,"Seattle Mariners",136,893,758,-135,68,94
104,2019,"Atlanta Braves",144,743,855,112,97,65
104,2019,"Washington Nationals",120,724,873,149,93,69
104,2019,"New York Mets",121,737,791,54,86,76
104,2019,"Philadelphia Phillies",143,794,774,-20,81,81
104,2019,"Miami Marlins",146,808,615,-193,57,105
104,2019,"St. Louis Cardinals",138,662,764,102,91,71
104,2019,"Milwaukee Brewers",158,766,769,3,89,73
104,2019,"Chicago Cubs",112,717,814,97,84,78
104,2019,"Cincinnati Reds",113,711,701,-10,75,87
104,2019,"Pittsburgh Pirates",134,911,758,-153,69,93
104,2019,"Los Angeles Dodgers",119,613,886,273,106,56
104,2019,"Arizona Diamondbacks",109,743,813,70,85,77
104,2019,"San Francisco Giants",137,773,678,-95,77,85
104,2019,"Colorado Rockies",115,958,835,-123,71,91
104,2019,"San Diego Padres",135,789,682,-107,70,92
103,2020,"Tampa Bay Rays",139,229,289,60,40,20
103,2020,"New York Yankees",147,270,315,45,33,27
103,2020,"Toronto Blue Jays",141,312,302,-10,32,28
103,2020,"Baltimore Orioles",110,294,274,-20,25,35
103,2020,"Boston Red Sox",111,351,292,-59,24,36
103,2020,"Minnesota Twins",142,215,269,54,36,24
103,2020,"Cleveland Guardians",114,209,248,39,35,25
103,2020,"Chicago White Sox",145,246,306,60,35,25
103,2020,"Kansas City Royals",118,272,248,-24,26,34
103,2020,"Detroit Tigers",116,318,249,-69,23,35
103,2020,"Oakland Athletics",133,232,274,42,36,24
103,2020,"Houston Astros",117,275,279,4,29,31
103,2020,"Seattle Mariners",136,303,254,-49,27,33
103,2020,"Los Angeles Angels",108,321,294,-27,26,34
103,2020,"Texas Rangers",140,312,224,-88,22,38
104,2020,"Atlanta Braves",144,288,348,60,35,25
104,2020,"Miami Marlins",146,304,263,-41,31,29
104,2020,"Philadelphia Phillies",143,311,306,-5,28,32
104,2020,"New York Mets",121,308,286,-22,26,34
104,2020,"Washington Nationals",120,301,293,-8,26,34
104,2020,"Chicago Cubs",112,240,265,25,34,26
104,2020,"St. Louis Cardinals",138,229,240,11,30,28
104,2020,"Cincinnati Reds",113,243,243,0,31,29
104,2020,"Milwaukee Brewers",158,264,247,-17,29,31
104,2020,"Pittsburgh Pirates",134,298,219,-79,19,41
104,2020,"Los Angeles Dodgers",119,213,349,136,43,17
104,2020,"San Diego Padres",135,241,325,84,37,23
104,2020,"San Francisco Giants",137,297,299,2,29,31
104,2020,"Colorado Rockies",115,353,275,-78,26,34
104,2020,"Arizona Diamondbacks",109,295,269,-26,25,35
103,2021,"Tampa Bay Rays",139,651,857,206,100,62
103,2021,"Boston Red Sox",111,749,829,80,92,70
103,2021,"New York Yankees",147,669,711,42,92,70
103,2021,"Toronto Blue Jays",141,663,846,183,91,71
103,2021,"Baltimore Orioles",110,956,659,-297,52,110
103,2021,"Chicago White Sox",145,636,796,160,93,69
103,2021,"Cleveland Guardians",114,727,717,-10,80,82
103,2021,"Detroit Tigers",116,756,697,-59,77,85
103,2021,"Kansas City Royals",118,788,686,-102,74,88
103,2021,"Minnesota Twins",142,834,729,-105,73,89
103,2021,"Houston Astros",117,658,863,205,95,67
103,2021,"Seattle Mariners",136,748,697,-51,90,72
103,2021,"Oakland Athletics",133,687,743,56,86,76
103,2021,"Los Angeles Angels",108,804,723,-81,77,85
103,2021,"Texas Rangers",140,815,625,-190,60,102
104,2021,"Atlanta Braves",144,656,790,134,88,73
104,2021,"Philadelphia Phillies",143,745,734,-11,82,80
104,2021,"New York Mets",121,668,636,-32,77,85
104,2021,"Miami Marlins",146,701,623,-78,67,95
104,2021,"Washington Nationals",120,820,724,-96,65,97
104,2021,"Milwaukee Brewers",158,623,738,115,95,67
104,2021,"St. Louis Cardinals",138,672,706,34,90,72
104,2021,"Cincinnati Reds",113,760,786,26,83,79
104,2021,"Chicago Cubs",112,839,705,-134,71,91
104,2021,"Pittsburgh Pirates",134,833,609,-224,61,101
104,2021,"San Francisco Giants",137,594,804,210,107,55
104,2021,"Los Angeles Dodgers",119,561,830,269,106,56
104,2021,"San Diego Padres",135,708,729,21,79,83
104,2021,"Colorado Rockies",115,796,739,-57,74,87
104,2021,"Arizona Diamondbacks",109,893,679,-214,52,110
103,2022,"New York Yankees",147,567,807,240,99,63
103,2022,"Toronto Blue Jays",141,679,775,96,92,70
103,2022,"Tampa Bay Rays",139,614,666,52,86,76
103,2022,"Baltimore Orioles",110,688,674,-14,83,79
103,2022,"Boston Red Sox",111,787,735,-52,78,84
103,2022,"Cleveland Guardians",114,634,698,64,92,70
103,2022,"Chicago White Sox",145,717,686,-31,81,81
103,2022,"Minnesota Twins",142,684,696,12,78,84
103,2022,"Detroit Tigers",116,713,557,-156,66,96
103,2022,"Kansas City Royals",118,810,640,-170,65,97
103,2022,"Houston Astros",117,518,737,219,106,56
103,2022,"Seattle Mariners",136,623,690,67,90,72
103,2022,"Los Angeles Angels",108,668,623,-45,73,89
103,2022,"Texas Rangers",140,743,707,-36,68,94
103,2022,"Oakland Athletics",133,770,568,-202,60,102
104,2022,"Atlanta Braves",144,609,789,180,101,61
104,2022,"New York Mets",121,606,772,166,101,61
104,2022,"Philadelphia Phillies",143,685,747,62,87,75
104,2022,"Miami Marlins",146,676,586,-90,69,93
104,2022,"Washington Nationals",120,855,603,-252,55,107
104,2022,"St. Louis Cardinals",138,637,772,135,93,69
104,2022,"Milwaukee Brewers",158,688,725,37,86,76
104,2022,"Chicago Cubs",112,731,657,-74,74,88
104,2022,"Cincinnati Reds",113,815,648,-167,62,100
104,2022,"Pittsburgh Pirates",134,817,591,-226,62,100
104,2022,"Los Angeles Dodgers",119,513,847,334,111,51
104,2022,"San Diego Padres",135,660,705,45,89,73
104,2022,"San Francisco Giants",137,697,716,19,81,81
104,2022,"Arizona Diamondbacks",109,740,702,-38,74,88
104,2022,"Colorado Rockies",115,873,698,-175,68,94
